,No,total margin [km],land-terminating margin [km],marine-terminating margin [km],lake-terminating margin [km],adjacent periphery [km],fraction of total [%],land fraction [%],marine fraction [%],lake fraction [%]
CE,60,698.7,638.6 (60.3),27.4,32.7,108.7,0.92,91.4,3.92,4.68
CE,61,1812.2,1727.4 (60.7),20.7,64.1,159.5,2.38,95.32,1.14,3.54
CE,62,779.5,774.8 (3.5),4.7,0,37.8,1.02,99.4,0.6,0
CE,74,3810.1,3788.4 (19.1),21.5,0.2,663.8,5,99.43,0.56,0.01
CE,75,604.1,598.0 (12.7),6.1,0.1,39.7,0.79,98.99,1.01,0.02
CE,76,882.8,855.8 (61.8),7.2,19.8,141.6,1.16,96.94,0.82,2.24
CE,95,1306.9,1271.7 (6.1),35.1,0,68.8,1.72,97.31,2.69,0
CE,96,1719.5,1690.2 (8.4),24,5.2,79,2.26,98.3,1.4,0.3
CE,100,1342.8,1332.1 (14.1),9.6,1.1,57.1,1.76,99.2,0.71,0.08
CE,102,268.4,257.0 (9.2),8.9,2.5,11.6,0.35,95.75,3.32,0.93
CE,122,463.8,461.2 (22.7),2.5,0,83,0.61,99.44,0.54,0
CE,203,257,250.6 (28.8),6,0.4,19.1,0.34,97.51,2.33,0.16
CE,204,100.3,98.2 (11.6),2.1,0,17.9,0.13,97.91,2.09,0
CE,248,338.9,321.2 (40),17.7,0,50.3,0.44,94.78,5.22,0
CE,249,259.7,257.6 (1),2.1,0,44.1,0.34,99.19,0.81,0
CE,250,356.5,353.7 (5.2),2.8,0,8.4,0.47,99.21,0.79,0
CE,251,305.5,301.3 (10.2),4.2,0,9.7,0.4,98.63,1.37,0
CE,252,630.8,628.0 (4.3),2.8,0,13.3,0.83,99.56,0.44,0
CE,255,443.6,438.0 (10.4),5.6,0,90.3,0.58,98.74,1.26,0
TOTAL CE,,16381.1,16043.8 (390.1),211,126.1,1703.7,21.51,97.94,1.29,0.77
CW,3,267,252.6 (32.7),11.7,2.7,10.6,0.35,94.61,4.38,1.01
CW,4,520.5,497.9 (52.9),19.5,3.1,19.2,0.68,95.66,3.75,0.6
CW,5,133.9,130.3 (44.4),0.7,3,2.9,0.18,97.31,0.52,2.24
CW,6,114.9,90.9 (29.2),23,1,0.3,0.15,79.11,20.02,0.87
CW,7,46.8,41.2 (0),4.9,0.8,0,0.06,88.03,10.47,1.71
CW,8,75.3,62.6 (14.6),8.8,3.9,0.9,0.1,83.13,11.69,5.18
CW,9,88,69.7 (19.1),8.5,9.8,1.1,0.12,79.2,9.66,11.14
CW,10,85.8,58.2 (0.6),12.9,14.7,0.8,0.11,67.83,15.03,17.13
CW,72,48.5,30.5 (2.8),9.5,8.5,0,0.06,62.89,19.59,17.53
CW,81,30.7,21.1 (0.6),7.2,2.5,0,0.04,68.73,23.45,8.14
CW,82,85.2,67.2 (1.0),13.7,4.3,0,0.11,78.87,16.08,5.05
CW,85,191.2,175.4 (59.8),15.8,0,16.3,0.25,91.74,8.26,0
CW,218,94.4,53.7 (29.6),33.4,7.2,0,0.12,56.89,35.38,7.63
CW,219,124.6,87.1 (12.5),9.9,27.5,0,0.16,69.9,7.95,22.07
CW,220,268.2,207.3 (41.3),20.6,40.3,0,0.35,77.29,7.68,15.03
CW,221,91.3,87.1 (12.5),0,4.2,0,0.12,95.4,0,4.6
CW,222,48.3,36.9 (6.4),4.4,7,0,0.06,76.4,9.11,14.49
TOTAL CW,,2314.6,1969.7 (407.0),204.5,140.5,52.1,3.04,85.1,8.84,6.07
NE,58,172.4,76.8 (0.5),62.5,33.1,0,0.23,44.55,36.25,19.2
NE,59,203.8,116.6 (0.4),61.4,25.9,0,0.27,57.21,30.13,12.71
NE,87,1441,1323.9 (212),5.8,111.3,45.8,1.89,91.87,0.4,7.72
NE,129,750.1,648.0 (51.3),6.3,95.8,2.5,0.98,86.39,0.84,12.77
NE,138,2296.5,2249.9 (57.5),4.4,42.1,110,2.99,97.97,0.19,1.83
NE,139,956.6,860.3 (291.1),16.4,79.9,22.5,1.26,89.93,1.71,8.35
NE,140,2793.4,2740.1 (3.9),9.5,43.8,68.5,3.67,98.09,0.34,1.57
NE,141,1887.9,1873.4 (90.3),3.3,11.1,87.8,2.48,99.23,0.17,0.59
NE,142,771.3,748.6 (30.6),4.3,18.3,76.2,1.01,97.06,0.56,2.37
NE,144,237.9,221.7 (14.9),3.4,12.8,23.4,0.31,93.19,1.43,5.38
NE,145,659.9,615.4 (12.0),0.1,44.5,133.8,0.87,93.26,0.02,6.74
NE,217,498,475.6 (32.0),0,22.5,0,0.65,95.5,0,4.52
NE,244,1991.2,1729.8 (68.7),48.9,212.4,4.1,2.61,86.87,2.46,10.67
NE,245,2046.6,1977.3 (26.1),15.5,53.8,124.6,2.69,96.61,0.76,2.63
NE,246,866.8,746.1 (120.6),60.3,60.4,6.1,1.14,86.08,6.96,6.97
NE,247,1766.6,1626.8 (15.3),0,139.8,35.7,2.32,92.09,0,7.91
TOTAL NE,,19340,18030.3 (1027.2),302.1,1007.5,741,25.4,93.23,1.56,5.21
NO,39,119,101.1 (9.1),17.9,0,5.1,0.16,84.96,15.04,0
NO,50,188.2,45.3 (1.3),134.1,8.8,0,0.25,24.07,71.25,4.68
NO,51,126.8,93.7 (11.2),0,33.1,0,0.17,73.9,0,26.1
NO,52,762.1,726.9 (126.8),2.5,32.7,3.8,1,95.38,0.33,4.29
NO,53,263.5,150.0 (0),94.4,19.1,0.6,0.35,56.93,35.83,7.25
NO,54,211.9,196.3 (84.5),0,15.6,0,0.28,92.64,0,7.36
NO,55,431.5,401 (204.1),7.2,23.4,2.1,0.57,92.93,1.67,5.42
NO,56,366.1,316.8 (27.9),13.1,36.2,1.2,0.48,86.53,3.58,9.89
NO,57,232.3,206.9 (29.9),0,25.4,8.5,0.31,89.07,0,10.93
NO,77,671.8,591.0 (195.7),14.9,65.9,53.9,0.88,87.97,2.22,9.81
NO,84,161.5,133.2 (18.3),23.4,4.9,0,0.21,82.48,14.49,3.03
NO,109,187.4,181.8 (117.8),4.4,1.1,0.1,0.25,97.01,2.35,0.59
NO,146,288.5,244.1 (6),6,38.4,0.5,0.38,84.61,2.08,13.31
NO,176,349.7,321.9 (12.3),2.5,25.2,0,0.46,92.05,0.71,7.21
NO,215,185.5,139.3 (57.9),28.5,17.7,0,0.24,75.09,15.36,9.54
NO,216,315.9,261.4 (49.2),29.5,25,0.9,0.41,82.75,9.34,7.91
NO,223,241.7,184.3 (6.7),46.9,10.4,0.3,0.32,76.25,19.4,4.3
NO,224,540.3,530.1 (27.4),8,2.2,1.4,0.71,98.11,1.48,0.41
TOTAL NO,,5643.7,4825.1 (986.1),433.3,385.1,78.4,7.41,85.5,7.68,6.82
NW,1,512,505.1 (10.3),6.9,0,40.4,0.67,98.65,1.35,0
NW,23,411.1,398.6 (132.0),12.5,0,22,0.54,96.96,3.04,0
NW,24,485.8,477.7 (28.6),0,8.1,25,0.63,98.33,0,1.67
NW,25,109.2,81.1 (18.8),15.5,12.5,0,0.14,74.27,14.19,11.45
NW,26,52.3,38.4 (1.2),11,2.9,0,0.07,73.42,21.03,5.54
NW,27,67.6,37.6 (3.4),26.8,3.3,0,0.09,55.54,39.59,4.87
NW,28,82.2,62.2 (18.2),10.9,9.1,0,0.11,75.67,13.26,11.07
NW,29,73.2,54.8 (2.2),11,7.4,0,0.1,74.86,15.03,10.11
NW,30,116.3,83.5 (18.9),26.1,6.7,0.6,0.15,71.8,22.44,5.76
NW,31,72.3,54.1 (22.1),10.6,7.6,3.4,0.09,74.83,14.66,10.51
NW,32,81.9,49.2 (0.3),22.1,10.5,0,0.11,60.07,26.98,12.82
NW,33,53.5,29.3 (10.6),21.6,2.6,0,0.07,54.77,40.37,4.86
NW,34,76.5,49.5 (41.9),27,0,0,0.1,64.71,35.29,0
NW,35,82.2,55.0 (4.0),26.6,0.6,0,0.11,66.91,32.36,0.73
NW,36,141.4,123.8 (7.9),15.1,2.6,0.6,0.19,87.55,10.68,1.84
NW,37,65.6,30.6 (6.9),35,0,0,0.09,46.65,53.35,0
NW,38,166.3,117.8 (10.9),46.6,1.9,1.4,0.22,70.84,28.02,1.14
NW,41,96.7,58.5 (10.4),38.2,0,6.5,0.13,60.5,39.5,0
NW,42,43.9,29.5 (13.3),13.4,1,0,0.06,67.2,30.52,2.28
NW,43,103.8,68.6 (3),35,0.2,0.9,0.14,66.09,33.72,0.19
NW,44,45,34.0 (9.9),11.1,0,0,0.06,75.56,24.67,0
NW,45,284.2,264.4 (3.2),19.7,0,1.3,0.37,93.03,6.93,0
NW,46,470.1,379.9 (119.9),9.9,62.3,6.3,0.62,84.64,2.11,13.25
NW,47,100.2,71.4 (8.3),25.7,3.1,0,0.13,71.26,25.65,3.09
NW,48,84.4,69.1 (9.2),13.2,2.1,0,0.11,81.87,15.64,2.49
NW,49,271.4,259.9 (45.7),9.6,1.9,13.4,0.36,95.76,3.54,0.7
NW,78,117.7,79.3 (32.5),38.5,0,2.3,0.15,67.37,32.71,0
NW,86,146.2,103.2 (25.2),32.6,10.3,0,0.19,70.59,22.3,7.05
NW,103,40.8,21.2 (1.6),17.5,2,0,0.05,51.96,42.89,4.9
NW,104,32.5,27.6 (5.5),4.4,0.5,2.3,0.04,84.92,13.54,1.54
NW,105,25.1,22.0 (5.2),3.1,0,1.7,0.05,87.65,12.35,0
NW,127,37.4,22.5 (8.4),14.4,0.6,0,0.05,60.16,38.5,1.6
NW,147,331.7,291.2 (4.4),39.7,0.8,8.2,0.44,87.79,11.97,0.24
NW,148,117.1,103.8 (9.5),13.3,0,1,0.15,88.64,11.36,0
NW,159,25.2,25.2 (7.9),0,0,0,0.03,100,0,0
NW,160,27.1,23.7 (0.9),3.4,0,0,0.04,87.45,12.55,0
NW,161,34.2,34.2 (20.8),0,0,0.2,0.04,100,0,0
NW,162,81.2,77.6 (6.1),3,0.6,0,0.11,95.57,3.69,0.74
NW,163,60,57.2 (40.3),0,2.8,1,0.08,95.33,0,4.67
