,No,total land-terminating margin [km],Near-vertical fraction [%],Near-vertical fraction (steep terrain) [%],Steep fraction [%],Shallow fraction [%],NA [%]
CE,60,638.6,30.11,9.86,9.42,18.66,31.95
CE,61,1727.4,29.59,12.15,14.39,30.11,13.76
CE,62,774.8,14.99,28.09,2.66,4.17,50.10
CE,74,3788.4,30.08,37.77,4.47,6.02,21.66
CE,75,598,37.94,22.86,11.79,18.61,8.79
CE,76,855.8,24.15,5.94,16.61,22.51,30.80
CE,95,1271.7,14.32,40.83,1.00,0.08,43.77
CE,96,1690.2,25.57,45.99,1.08,0.90,26.45
CE,100,1332.1,30.77,37.66,2.69,3.82,25.05
CE,102,257,33.56,13.20,16.04,18.77,18.44
CE,122,461.2,18.61,43.91,0.73,0.00,36.75
CE,203,250.6,26.34,7.85,18.10,11.69,36.01
CE,204,98.2,20.80,0.00,11.05,25.77,42.38
CE,248,321.2,4.60,44.63,0.49,0.00,50.27
CE,249,257.6,3.41,22.35,0.00,0.00,74.24
CE,250,353.7,43.11,7.43,17.00,17.57,14.89
CE,251,301.3,27.41,15.40,1.16,7.21,48.83
CE,252,628,21.72,35.66,0.72,5.12,36.78
CE,255,438,9.20,40.98,0.58,27.21,22.04
TOTAL CE,,16043.8,25.62,30.17,5.93,10.03,28.25
CW,3,252.6,21.55,7.12,12.87,25.61,32.84
CW,4,497.9,22.69,8.43,4.97,22.06,41.85
CW,5,130.3,17.35,1.84,17.68,28.90,34.23
CW,6,90.9,8.01,13.22,12.70,26.04,40.02
CW,7,41,32.79,0.00,11.20,37.79,18.22
CW,8,62.3,9.92,2.10,9.03,39.13,39.83
CW,9,69.7,6.37,0.00,8.02,35.84,49.77
CW,10,58.2,32.42,0.00,19.99,37.56,10.03
CW,72,30.5,30.68,0.00,14.20,43.87,11.25
CW,81,21.1,8.16,0.00,9.67,79.28,2.89
CW,82,67.2,18.15,2.94,27.07,45.14,6.70
CW,85,175.4,17.58,4.82,2.82,8.07,66.72
CW,218,53.7,10.22,0.00,5.97,28.63,55.17
CW,219,87.1,3.61,0.00,23.36,34.39,38.64
CW,220,207.3,14.23,0.61,13.87,51.06,20.23
CW,221,87.1,10.54,0.56,10.30,62.54,16.06
CW,222,36.9,18.31,0.00,28.75,32.31,20.63
TOTAL CW,,1969.4,17.69,4.46,11.21,31.22,35.42
,,,,,,,
NE,58,76.8,7.46,0,25.99,59.5,7.05
NE,59,116.6,5.67,0.78,16.25,63.51,13.79
NE,87,1323.9,25.19,1.32,10.87,39.71,22.91
NE,129,648,17.71,1.24,8.64,57.33,15.08
NE,138,2249.9,31.94,9.66,16.28,24.48,17.64
NE,139,860.3,16.17,1.33,7.03,34.96,40.51
NE,140,2740.1,38.54,20.49,11.65,10.75,18.56
NE,141,1873.4,12.76,30.36,0.23,0.26,56.38
NE,142,748.6,21.85,21.77,6.73,12.57,37.09
NE,144,221.7,29.24,1.46,16.62,34.12,18.55
NE,145,615.4,24.68,5.02,9.18,32.89,28.24
NE,217,475.6,28.08,0.12,27.32,35.85,8.63
NE,244,1729.8,35.3,4.15,14.89,31.62,14.04
NE,245,1977.3,26.87,1.73,18.32,43.09,9.99
NE,246,746.1,14.57,0.54,7.28,51.43,26.19
NE,247,1626.8,25.81,5.82,24.07,36.39,7.9
TOTAL NE,,18030.2,26.61,9.92,12.92,28.20,22.36
,,,,,,,
NO,39,101.1,34.81,2.47,7.60,31.76,23.37
NO,50,45.3,37.99,0.00,34.15,22.84,5.01
NO,51,93.7,42.18,0.00,15.02,27.09,15.71
NO,52,726.9,21.14,0.89,11.41,44.18,22.39
NO,53,150,49.31,2.95,7.32,27.99,12.44
NO,54,196.3,23.91,1.31,4.51,26.29,43.97
NO,55,401,3.79,0.94,4.33,35.65,55.29
NO,56,316.8,34.74,0.23,9.62,36.34,19.06
NO,57,206.9,25.18,0.00,12.03,45.19,17.61
NO,77,591,13.77,1.92,9.31,36.71,38.29
NO,84,133.2,36.06,0.00,16.00,31.74,16.20
NO,109,181.8,16.78,0.00,8.53,13.11,61.58
NO,146,244.1,35.95,2.20,7.87,39.90,14.08
NO,176,321.7,29.90,0.65,27.82,32.93,8.70
NO,215,139.3,28.43,0.00,2.29,25.56,43.73
NO,216,261.4,25.80,0.69,8.87,31.57,33.07
NO,223,184.3,42.71,0.00,19.67,31.85,5.76
NO,224,530.1,37.13,12.97,17.32,16.65,15.94
TOTAL NO,,4824.9,26.33,2.28,11.77,32.86,26.77
,,,,,,,
NW,1,505.1,29.20,11.50,9.14,12.38,37.78
NW,23,398.6,33.38,6.81,4.41,6.86,48.54
NW,24,477.7,31.28,8.14,15.71,30.53,14.35
NW,25,81.1,15.55,2.26,12.31,41.12,28.77
NW,26,38.4,14.15,0.00,9.50,62.76,13.59
NW,27,37.6,23.35,3.21,15.38,47.37,10.69
NW,28,62.2,33.63,0.00,2.92,32.76,30.69
NW,29,54.8,19.03,0.00,24.42,45.34,11.22
NW,30,83.5,15.83,0.00,14.73,39.16,30.28
NW,31,54.1,11.86,0.00,2.65,41.92,43.57
NW,32,49.2,10.79,0.57,11.60,59.79,17.24
NW,33,29.3,32.14,0.00,0.00,30.16,37.70
NW,34,49.5,3.73,0.00,0.66,5.89,89.73
NW,35,55,23.34,3.88,31.79,31.29,9.70
